Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,MA,Slope,Volatility,TrendStrength,Shock,Trend
20251229,4643.8798828125,4644.1201171875,4631.39990234375,4633.64013671875,124908200,0.0,0.0,-0.054134695336993666,4568.243017578125,1.3974492112275083,0.44703403503538036,3.126046568505478,-0.12109748049208198,Bullish
20251230,4646.02001953125,4665.1201171875,4643.35986328125,4655.3798828125,172295600,0.0,0.0,0.4691720861418558,4574.701000976563,0.978026184208769,0.45332193482099703,2.157464947278498,1.0349644482284261,Bullish
20251231,4658.06005859375,4661.35009765625,4641.41015625,4646.2099609375,120842400,0.0,0.0,-0.19697472828920093,4580.113500976562,0.15606364685387675,0.4585447911950752,0.34034547954876626,-0.42956485837695074,Sideways
20260102,4652.33984375,4669.2900390625,4648.3798828125,4656.1201171875,144407800,0.0,0.0,0.2132954888676597,4585.193505859375,0.4266355380347031,0.45550707761232545,0.9366167047744658,0.46825943953650695,Bullish
20260105,4670.0400390625,4690.47998046875,4668.68994140625,4680.5,191597100,0.0,0.0,0.5236094043730599,4592.461499023438,0.9566148332224911,0.4459726697346343,2.145007750792672,1.1740840636817982,Bullish
20260106,4703.14013671875,4744.669921875,4693.27978515625,4739.97021484375,220247800,0.0,0.0,1.2705953390396374,4602.892016601562,2.2947418225770067,0.5060012191175148,4.535051964062701,2.5110519323562173,Euphoria
20260107,4750.3798828125,4765.2900390625,4730.5,4747.6201171875,252167200,0.0,0.0,0.16139135895396617,4614.919018554688,1.981368582090326,0.4737035418691426,4.182718529551686,0.34070118690087703,Bullish
20260108,4754.5400390625,4763.0400390625,4726.18017578125,4739.06982421875,249656800,0.0,0.0,-0.18009640109569736,4626.210498046875,1.9986153028373366,0.4832908507486076,4.135429627400399,-0.3726459973672825,Bullish
20260109,4737.0400390625,4750.31005859375,4723.080078125,4744.66015625,214655700,0.0,0.0,0.11796264327401662,4637.8485107421875,1.9015840836164255,0.4799815982328659,3.9617853905596205,0.24576492871459282,Bullish
20260112,4750.43994140625,4779.02978515625,4750.080078125,4766.77978515625,196008800,0.0,0.0,0.46620049018921694,4650.14599609375,1.8433882097265153,0.48210801560614214,3.823600002602882,0.9670042295461007,Bullish
